,date,venue,innings,target,team,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.10,0.11,0.12,d1,r1,w1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.10,1.11,1.12,d2,r2,w2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,2.10,2.11,2.12,d3,r3,w3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,3.10,3.11,3.12,d4,r4,w4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,4.10,4.11,4.12,d5,r5,w5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,5.10,5.11,5.12,d6,r6,w6
15,2012-04-21,"MA Chidambaram Stadium, Chepauk",2,147,Chennai Super Kings,0,0,0,0,1,1,,,,,,,6,2,0,4,4,0,4,0,0,,,,,,,6,12,0,2,4,0,1,1,1,,,,,,,6,9,0,1,2,1,0,0,2,,,,,,,6,6,0,1,1,4,4,1,0,,,,,,,6,11,0,4,0,1,0,0,0,,,,,,,6,5,0
16,2017-05-17,M Chinnaswamy Stadium,1,,Sunrisers Hyderabad,0,1,0,1,4,1,,,,,,,6,7,0,0,0,1,1,0,4,,,,,,,6,6,0,1,1,0,0,4,1,,,,,,,6,7,0,1,1,1,0,1,1,,,,,,,6,5,0,0,0,1,0,0,1,,,,,,,6,2,0,0,0,0,1,1,1,,,,,,,6,3,0
17,2017-05-17,M Chinnaswamy Stadium,2,48,Kolkata Knight Riders,1,6,0,0,0,4,,,,,,,6,11,0,1,0,1,0,1,6,1,,,,,,7,10,0,1,1,2,0,1,1,0,0,,,,,8,6,0,1,4,6,1,1,1,,,,,,,6,14,0,2,0,1,1,1,0,,,,,,,6,5,0,1,1,,,,,,,,,,,2,2,0
18,2021-09-21,Dubai International Cricket Stadium,1,,Rajasthan Royals,1,0,0,0,4,4,,,,,,,6,9,0,0,1,0,1,1,0,6,,,,,,7,9,0,1,0,0,0,4,0,,,,,,,6,5,0,1,4,4,0,4,4,,,,,,,6,17,0,4,1,0,0,4,4,,,,,,,6,13,0,0,1,0,2,0,1,,,,,,,6,4,0
19,2021-09-21,Dubai International Cricket Stadium,2,183,Punjab Kings,0,1,1,0,1,1,,,,,,,6,4,0,0,0,1,1,2,1,,,,,,,6,5,0,0,0,0,2,4,0,1,,,,,,7,7,0,4,6,6,1,1,1,,,,,,,6,19,0,1,2,1,0,1,0,1,,,,,,7,6,0,1,0,4,1,1,1,,,,,,,6,8,0
20,2011-05-09,Sawai Mansingh Stadium,1,,Chennai Super Kings,4,1,1,0,0,0,1,,,,,,7,7,0,1,0,4,1,1,1,,,,,,,6,8,0,4,1,1,1,1,2,,,,,,,6,10,0,1,0,4,1,1,2,,,,,,,6,9,0,4,0,1,0,4,4,,,,,,,6,13,0,0,2,1,1,0,0,4,,,,,,7,8,0
21,2011-05-09,Sawai Mansingh Stadium,2,133,Rajasthan Royals,1,0,2,0,4,1,,,,,,,6,8,0,5,1,0,2,0,1,1,,,,,,7,10,0,0,0,4,1,1,1,,,,,,,6,7,0,1,1,0,0,0,1,,,,,,,6,3,0,0,1,1,4,4,0,,,,,,,6,10,0,1,4,1,4,0,0,,,,,,,6,10,0
22,2013-05-15,Wankhede Stadium,1,,Mumbai Indians,0,0,0,1,1,0,,,,,,,6,2,0,1,0,0,6,0,1,,,,,,,6,8,0,6,2,6,0,1,0,,,,,,,6,15,0,0,0,1,1,0,0,,,,,,,6,2,0,0,0,4,4,0,0,,,,,,,6,8,0,1,0,4,1,0,2,6,,,,,,7,14,0
23,2013-05-15,Wankhede Stadium,2,152,Rajasthan Royals,1,0,0,4,0,0,0,,,,,,7,5,0,1,4,0,0,0,1,,,,,,,6,6,0,0,4,1,1,0,1,,,,,,,6,7,0,1,0,3,0,0,0,,,,,,,6,4,0,4,0,0,0,0,1,,,,,,,6,5,0,0,1,0,0,0,1,,,,,,,6,2,0
24,2008-04-20,Wankhede Stadium,1,,Mumbai Indians,0,4,0,0,4,0,,,,,,,6,8,0,1,0,0,0,0,4,,,,,,,6,5,0,0,4,0,1,0,1,0,,,,,,7,6,0,0,1,0,0,2,0,,,,,,,6,3,0,1,4,4,0,4,0,6,,,,,,7,19,0,1,4,0,0,1,0,,,,,,,6,6,0
25,2008-04-20,Wankhede Stadium,2,166,Royal Challengers Bangalore,0,1,0,1,4,4,,,,,,,6,10,0,0,0,0,0,0,1,,,,,,,6,1,0,0,4,1,1,4,1,,,,,,,6,11,0,0,1,1,1,1,1,,,,,,,6,5,0,4,1,4,0,1,0,0,,,,,,7,10,0,1,0,0,1,1,0,,,,,,,6,3,0
26,2014-05-20,"Rajiv Gandhi International Stadium, Uppal",1,,Royal Challengers Bangalore,1,0,4,0,0,0,,,,,,,6,5,0,0,0,0,2,0,0,,,,,,,6,2,0,1,0,4,0,1,1,,,,,,,6,7,0,0,1,2,2,1,0,,,,,,,6,6,0,1,1,0,0,0,1,,,,,,,6,3,0,0,1,1,0,0,0,,,,,,,6,2,0
27,2014-05-20,"Rajiv Gandhi International Stadium, Uppal",2,161,Sunrisers Hyderabad,0,0,0,4,1,1,,,,,,,6,6,0,0,1,4,4,1,0,,,,,,,6,10,0,0,0,6,4,0,0,,,,,,,6,10,0,4,2,2,1,1,0,4,,,,,,7,14,0,4,0,0,0,0,1,,,,,,,6,5,0,4,1,0,0,0,1,,,,,,,6,6,0
28,2009-05-21,SuperSport Park,1,,Royal Challengers Bangalore,3,0,0,0,1,0,,,,,,,6,4,0,1,2,0,0,0,0,,,,,,,6,3,0,0,0,4,4,0,0,,,,,,,6,8,0,0,0,0,2,4,4,,,,,,,6,10,0,2,1,0,0,1,2,,,,,,,6,6,0,0,1,0,0,0,1,,,,,,,6,2,0
29,2009-05-21,SuperSport Park,2,158,Deccan Chargers,0,0,4,0,0,0,,,,,,,6,4,0,0,4,2,1,0,1,,,,,,,6,8,0,1,0,2,0,0,1,,,,,,,6,4,0,0,4,1,0,1,1,,,,,,,6,7,0,6,6,4,1,1,4,0,,,,,,7,22,0,1,1,4,6,6,1,0,,,,,,7,19,0
30,2011-04-21,"Punjab Cricket Association Stadium, Mohali",1,,Kings XI Punjab,0,0,4,1,4,2,1,1,,,,,8,13,0,1,1,1,1,4,0,2,4,,,,,8,14,0,6,4,6,0,4,5,0,,,,,,7,25,0,0,6,4,1,2,2,,,,,,,6,15,0,0,0,0,2,4,0,,,,,,,6,6,0,0,0,0,4,0,0,,,,,,,6,4,0
31,2011-04-21,"Punjab Cricket Association Stadium, Mohali",2,147,Rajasthan Royals,0,0,2,1,0,4,,,,,,,6,7,0,1,4,0,0,0,0,,,,,,,6,5,0,1,0,1,0,4,0,,,,,,,6,6,0,4,0,4,0,4,1,,,,,,,6,13,0,4,1,0,0,1,1,,,,,,,6,7,0,1,0,2,1,2,1,,,,,,,6,7,0
32,2012-05-19,Subrata Roy Sahara Stadium,1,,Kolkata Knight Riders,0,0,0,4,0,4,,,,,,,6,8,0,1,0,0,1,2,1,,,,,,,6,5,0,0,0,0,1,0,1,,,,,,,6,2,0,0,0,0,1,4,1,,,,,,,6,6,0,0,0,0,1,0,0,,,,,,,6,1,0,0,0,4,0,0,1,,,,,,,6,5,0
33,2012-05-19,Subrata Roy Sahara Stadium,2,102,Pune Warriors,4,1,0,1,1,0,2,,,,,,7,9,0,0,0,1,0,1,0,,,,,,,6,2,0,0,0,1,0,1,0,,,,,,,6,2,0,0,6,1,0,0,1,,,,,,,6,8,0,1,6,1,1,3,1,1,,,,,,7,14,0,2,0,1,2,0,0,,,,,,,6,5,0
34,2013-04-13,"MA Chidambaram Stadium, Chepauk",1,,Royal Challengers Bangalore,0,0,0,0,0,1,4,,,,,,7,5,0,1,0,0,0,0,0,,,,,,,6,1,0,0,0,0,0,4,1,,,,,,,6,5,0,0,0,1,0,1,4,,,,,,,6,6,0,1,1,4,3,0,0,,,,,,,6,9,0,0,1,1,0,4,1,,,,,,,6,7,0
