,date,venue,innings,target,team,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.10,0.11,0.12,d1,r1,w1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.10,1.11,1.12,d2,r2,w2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,2.10,2.11,2.12,d3,r3,w3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,3.10,3.11,3.12,d4,r4,w4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,4.10,4.11,4.12,d5,r5,w5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,5.10,5.11,5.12,d6,r6,w6
227,2017-05-13,Green Park,2,158,Sunrisers Hyderabad,0,1,0,0,4,1,1,,,,,,7,7,0,4,4,4,0,0,1,,,,,,,6,13,0,0,0,0,1,4,0,,,,,,,6,5,0,1,0,1,0,0,0,,,,,,,6,2,0,0,0,1,4,0,1,,,,,,,6,6,0,2,1,4,1,2,4,,,,,,,6,14,0
228,2016-05-11,M Chinnaswamy Stadium,1,,Royal Challengers Bangalore,0,0,0,0,6,1,1,,,,,,7,8,0,0,1,0,1,1,0,,,,,,,6,3,0,0,0,0,0,0,1,,,,,,,6,1,0,1,0,4,0,0,0,,,,,,,6,5,0,0,0,0,0,1,1,,,,,,,6,2,0,4,1,0,0,1,0,,,,,,,6,6,0
229,2016-05-11,M Chinnaswamy Stadium,2,153,Mumbai Indians,0,1,1,0,0,0,,,,,,,6,2,0,0,0,1,1,0,0,,,,,,,6,2,0,2,0,4,1,4,1,0,0,,,,,8,12,0,0,0,0,4,2,1,,,,,,,6,7,0,0,0,4,2,0,1,,,,,,,6,7,0,0,6,1,1,0,1,,,,,,,6,9,0
230,2021-09-20,"Zayed Cricket Stadium, Abu Dhabi",1,,Royal Challengers Bangalore,1,0,0,0,3,0,,,,,,,6,4,0,0,1,1,4,0,0,2,,,,,,7,8,0,1,1,4,1,0,1,,,,,,,6,8,0,0,0,0,1,2,4,0,1,,,,,8,8,0,0,1,1,0,1,4,,,,,,,6,7,0,4,1,0,1,0,0,,,,,,,6,6,0
231,2021-09-20,"Zayed Cricket Stadium, Abu Dhabi",2,94,Kolkata Knight Riders,0,1,0,1,4,4,0,,,,,,7,10,0,2,4,0,1,1,1,1,0,,,,,8,10,0,0,2,0,0,0,0,,,,,,,6,2,0,1,1,1,0,4,0,,,,,,,6,7,0,4,0,1,0,4,1,6,,,,,,7,16,0,0,4,0,4,2,1,,,,,,,6,11,0
232,2009-05-14,Kingsmead,1,,Chennai Super Kings,0,1,0,0,1,2,,,,,,,6,4,0,4,1,4,4,1,1,1,,,,,,7,16,0,4,0,6,1,0,1,,,,,,,6,12,0,0,0,0,0,0,0,,,,,,,6,0,0,1,1,1,0,4,4,,,,,,,6,11,0,1,4,0,0,0,4,,,,,,,6,9,0
233,2009-05-14,Kingsmead,2,132,Royal Challengers Bangalore,1,1,0,0,4,0,0,,,,,,7,6,0,1,1,0,4,0,1,4,,,,,,7,11,0,0,0,0,0,0,1,,,,,,,6,1,0,4,0,0,4,2,1,,,,,,,6,11,0,0,0,1,0,0,0,,,,,,,6,1,0,0,1,1,0,1,0,,,,,,,6,3,0
234,2019-04-27,Sawai Mansingh Stadium,1,,Sunrisers Hyderabad,5,0,0,1,0,3,,,,,,,6,9,0,3,4,0,1,2,0,,,,,,,6,10,0,0,0,2,4,1,1,,,,,,,6,8,0,0,1,0,0,0,4,,,,,,,6,5,0,1,1,1,4,1,1,,,,,,,6,9,0,3,1,0,1,4,1,,,,,,,6,10,0
235,2019-04-27,Sawai Mansingh Stadium,2,161,Rajasthan Royals,0,0,4,0,0,0,,,,,,,6,4,0,0,0,1,1,1,1,,,,,,,6,4,0,0,0,4,0,4,2,,,,,,,6,10,0,1,6,1,6,2,0,,,,,,,6,16,0,0,1,0,0,1,4,,,,,,,6,6,0,4,0,6,0,4,6,,,,,,,6,20,0
236,2011-04-12,Sawai Mansingh Stadium,1,,Delhi Daredevils,1,4,0,0,0,0,,,,,,,6,5,0,0,0,0,0,1,1,0,,,,,,7,2,0,0,3,0,0,0,6,,,,,,,6,9,0,0,4,1,0,1,1,0,,,,,,7,7,0,4,1,1,0,0,1,,,,,,,6,7,0,0,0,0,0,0,0,,,,,,,6,0,0
237,2011-04-12,Sawai Mansingh Stadium,2,152,Rajasthan Royals,2,1,4,0,0,1,0,0,,,,,8,8,0,4,0,1,0,0,0,,,,,,,6,5,0,4,4,0,1,4,0,,,,,,,6,13,0,1,0,0,6,4,4,0,,,,,,7,15,0,0,0,0,0,1,1,,,,,,,6,2,0,4,1,4,1,0,4,,,,,,,6,14,0
238,2015-05-09,Eden Gardens,1,,Kings XI Punjab,1,0,0,1,0,0,,,,,,,6,2,0,1,1,0,2,4,0,,,,,,,6,8,0,4,0,6,4,0,4,,,,,,,6,18,0,0,1,1,1,0,1,,,,,,,6,4,0,1,0,1,0,1,6,,,,,,,6,9,0,0,0,4,0,0,0,,,,,,,6,4,0
239,2015-05-09,Eden Gardens,2,184,Kolkata Knight Riders,0,0,1,4,0,0,,,,,,,6,5,0,0,1,0,4,1,4,,,,,,,6,10,0,0,4,1,4,1,0,,,,,,,6,10,0,2,4,0,4,1,4,,,,,,,6,15,0,0,1,1,4,1,4,4,,,,,,7,15,0,1,0,1,0,0,0,,,,,,,6,2,0
240,2014-05-05,"Sardar Patel Stadium, Motera",1,,Rajasthan Royals,4,0,1,0,0,0,,,,,,,6,5,0,0,1,4,3,0,1,,,,,,,6,9,0,2,2,2,0,0,1,,,,,,,6,7,0,0,0,4,6,1,1,,,,,,,6,12,0,1,0,4,4,1,1,0,,,,,,7,11,0,1,0,0,1,0,4,,,,,,,6,6,0
241,2014-05-05,"Sardar Patel Stadium, Motera",2,160,Kolkata Knight Riders,0,0,4,0,1,0,,,,,,,6,5,0,0,0,0,1,3,4,,,,,,,6,8,0,0,1,4,4,0,1,,,,,,,6,10,0,1,1,0,4,2,0,,,,,,,6,8,0,2,1,0,1,4,0,,,,,,,6,8,0,0,0,1,4,4,2,,,,,,,6,11,0
242,2010-03-28,Dr DY Patil Sports Academy,1,,Mumbai Indians,0,0,1,4,0,0,0,,,,,,7,5,0,0,0,0,4,4,1,,,,,,,6,9,0,1,0,0,0,4,0,,,,,,,6,5,0,4,1,0,1,3,1,1,0,0,,,,9,11,0,6,4,0,2,0,0,,,,,,,6,12,0,1,0,0,1,4,4,,,,,,,6,10,0
243,2010-03-28,Dr DY Patil Sports Academy,2,131,Deccan Chargers,0,0,4,0,2,4,,,,,,,6,10,0,0,1,0,1,4,4,,,,,,,6,10,0,1,0,1,0,4,0,,,,,,,6,6,0,6,0,1,1,0,1,0,,,,,,7,9,0,0,6,6,0,0,1,,,,,,,6,13,0,1,0,0,0,0,1,0,,,,,,7,2,0
244,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",1,,Deccan Chargers,0,4,0,0,4,4,,,,,,,6,12,0,1,1,4,0,0,4,,,,,,,6,10,0,0,0,0,4,6,0,,,,,,,6,10,0,1,0,0,0,0,0,,,,,,,6,1,0,0,4,4,0,3,4,,,,,,,6,15,0,0,4,0,0,1,4,1,,,,,,7,10,0
245,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",2,217,Rajasthan Royals,0,0,4,1,0,0,,,,,,,6,5,0,6,0,2,1,0,0,,,,,,,6,9,0,0,0,0,1,0,4,,,,,,,6,5,0,0,4,6,1,0,1,4,,,,,,7,16,0,6,6,4,1,4,1,,,,,,,6,22,0,4,4,1,6,0,1,,,,,,,6,16,0
246,2008-05-02,"MA Chidambaram Stadium, Chepauk",1,,Chennai Super Kings,1,0,0,0,3,0,,,,,,,6,4,0,1,0,0,1,4,0,1,,,,,,7,7,0,0,1,0,1,0,0,,,,,,,6,2,0,1,5,4,0,4,0,1,0,,,,,8,15,0,1,2,1,0,4,1,,,,,,,6,9,0,1,4,0,4,0,1,,,,,,,6,10,0
247,2008-05-02,"MA Chidambaram Stadium, Chepauk",2,172,Delhi Daredevils,1,0,0,6,0,1,,,,,,,6,8,0,6,0,6,2,1,1,1,,,,,,7,17,0,1,0,0,4,1,0,,,,,,,6,6,0,2,4,1,0,1,4,,,,,,,6,12,0,1,1,0,4,4,1,,,,,,,6,11,0,2,4,0,0,4,0,,,,,,,6,10,0
248,2021-10-04,Dubai International Cricket Stadium,1,,Chennai Super Kings,0,5,0,1,2,4,0,4,,,,,8,16,0,0,1,4,0,4,1,0,,,,,,7,10,0,1,1,0,0,1,1,,,,,,,6,4,0,0,4,1,0,0,1,,,,,,,6,6,0,2,0,1,0,0,2,,,,,,,6,5,0,0,1,4,0,1,1,,,,,,,6,7,0
249,2021-10-04,Dubai International Cricket Stadium,2,139,Delhi Capitals,0,2,1,1,0,0,4,,,,,,7,8,0,0,4,0,4,2,1,,,,,,,6,11,0,1,4,0,0,0,0,0,,,,,,7,5,0,0,1,0,1,0,1,,,,,,,6,3,0,6,4,4,6,0,1,,,,,,,6,21,0,1,1,0,1,0,0,,,,,,,6,3,0
250,2015-04-19,M Chinnaswamy Stadium,1,,Mumbai Indians,1,1,0,0,0,0,,,,,,,6,2,0,1,5,1,0,0,0,4,0,,,,,8,11,0,4,4,0,0,1,1,,,,,,,6,10,0,0,1,0,4,4,0,4,,,,,,7,13,0,0,0,1,0,4,4,,,,,,,6,9,0,0,1,0,1,0,1,,,,,,,6,3,0
251,2015-04-19,M Chinnaswamy Stadium,2,191,Royal Challengers Bangalore,0,0,1,1,0,1,0,1,0,,,,9,4,0,0,0,0,0,0,0,,,,,,,6,0,0,4,0,4,0,0,0,,,,,,,6,8,0,0,1,0,1,1,1,,,,,,,6,4,0,4,0,0,6,0,0,,,,,,,6,10,0,0,1,1,1,2,0,1,0,0,,,,9,6,0
252,2015-04-18,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,,Delhi Daredevils,1,0,0,4,1,1,0,,,,,,7,7,0,0,0,0,4,2,2,,,,,,,6,8,0,0,0,0,1,2,0,2,,,,,,7,5,0,0,1,0,4,0,1,,,,,,,6,6,0,0,0,0,1,0,1,,,,,,,6,2,0,1,4,0,0,6,0,1,,,,,,7,12,0
253,2015-04-18,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,163,Sunrisers Hyderabad,0,0,0,1,0,2,,,,,,,6,3,0,2,1,1,0,1,1,1,,,,,,7,7,0,1,2,1,0,1,2,,,,,,,6,7,0,0,0,0,1,2,0,,,,,,,6,3,0,4,0,4,0,4,0,,,,,,,6,12,0,4,0,4,4,2,4,,,,,,,6,18,0
254,2012-04-29,Feroz Shah Kotla,1,,Delhi Daredevils,4,1,0,0,0,2,,,,,,,6,7,0,1,4,0,1,0,0,,,,,,,6,6,0,4,0,0,1,1,0,,,,,,,6,6,0,0,0,4,1,0,0,,,,,,,6,5,0,1,1,1,1,1,2,4,,,,,,7,11,0,0,0,0,1,6,0,,,,,,,6,7,0
255,2012-04-29,Feroz Shah Kotla,2,151,Rajasthan Royals,1,4,0,0,1,0,,,,,,,6,6,0,0,0,2,1,4,1,,,,,,,6,8,0,0,0,0,4,4,0,,,,,,,6,8,0,1,1,0,0,0,0,,,,,,,6,2,0,1,4,0,0,0,0,1,,,,,,7,6,0,1,4,0,0,1,4,,,,,,,6,10,0
256,2014-05-06,Wankhede Stadium,1,,Mumbai Indians,1,0,1,0,1,4,,,,,,,6,7,0,2,0,4,1,1,4,,,,,,,6,12,0,1,2,0,0,2,1,,,,,,,6,6,0,0,1,0,6,0,0,,,,,,,6,7,0,1,1,0,0,0,1,0,6,,,,,8,9,0,0,0,1,0,4,4,,,,,,,6,9,0
257,2014-05-06,Wankhede Stadium,2,168,Royal Challengers Bangalore,1,0,0,4,1,0,,,,,,,6,6,0,0,4,4,0,1,0,,,,,,,6,9,0,1,1,4,1,6,1,4,6,4,,,,9,28,0,0,4,0,2,0,0,,,,,,,6,6,0,0,1,1,2,0,0,,,,,,,6,4,0,0,0,1,0,4,6,,,,,,,6,11,0
258,2012-05-25,"MA Chidambaram Stadium, Chepauk",1,,Chennai Super Kings,4,4,1,1,1,1,,,,,,,6,12,0,0,4,0,1,1,1,,,,,,,6,7,0,0,0,0,1,4,1,,,,,,,6,6,0,4,1,0,0,0,1,,,,,,,6,6,0,3,0,4,0,1,0,,,,,,,6,8,0,0,4,1,0,0,4,4,,,,,,7,13,0
259,2012-05-25,"MA Chidambaram Stadium, Chepauk",2,136,Delhi Daredevils,0,1,0,0,1,4,,,,,,,6,6,0,1,4,4,0,1,1,,,,,,,6,11,0,0,0,0,1,1,1,1,0,,,,,8,4,0,1,0,0,0,1,4,,,,,,,6,6,0,1,1,0,1,1,4,,,,,,,6,8,0,1,6,1,1,1,1,,,,,,,6,11,0
260,2012-05-04,"MA Chidambaram Stadium, Chepauk",1,,Chennai Super Kings,0,1,0,4,1,0,,,,,,,6,6,0,2,0,0,0,0,3,,,,,,,6,5,0,4,0,0,0,1,1,,,,,,,6,6,0,4,1,0,0,4,0,,,,,,,6,9,0,3,4,1,1,6,6,,,,,,,6,21,0,0,2,1,4,1,0,1,,,,,,7,9,0
261,2012-05-04,"MA Chidambaram Stadium, Chepauk",2,150,Deccan Chargers,0,1,0,0,3,0,,,,,,,6,4,0,4,1,0,0,0,0,,,,,,,6,5,0,1,1,0,2,4,0,,,,,,,6,8,0,1,1,1,1,1,3,,,,,,,6,8,0,4,1,4,1,1,4,,,,,,,6,15,0,0,1,0,4,1,1,,,,,,,6,7,0
262,2017-05-06,Feroz Shah Kotla,1,,Mumbai Indians,0,0,1,1,1,0,,,,,,,6,3,0,1,1,1,1,1,1,1,,,,,,7,7,0,1,0,1,1,1,4,,,,,,,6,8,0,0,6,2,4,0,1,,,,,,,6,13,0,6,1,0,1,1,1,,,,,,,6,10,0,1,1,4,1,4,4,4,,,,,,7,19,0
263,2017-05-06,Feroz Shah Kotla,2,66,Delhi Daredevils,0,1,1,1,0,1,,,,,,,6,4,0,1,0,1,0,0,0,,,,,,,6,2,0,0,0,4,4,0,6,,,,,,,6,14,0,0,0,0,1,1,4,,,,,,,6,6,0,4,1,0,0,0,0,,,,,,,6,5,0,0,4,0,0,0,0,,,,,,,6,4,0
264,2012-04-08,Subrata Roy Sahara Stadium,1,,Pune Warriors,1,4,0,0,4,1,,,,,,,6,10,0,4,0,0,0,0,1,,,,,,,6,5,0,0,1,0,3,1,1,,,,,,,6,6,0,1,1,1,2,2,0,,,,,,,6,7,0,2,1,0,1,0,0,4,,,,,,7,8,0,1,0,0,1,0,0,,,,,,,6,2,0
265,2012-04-08,Subrata Roy Sahara Stadium,2,144,Kings XI Punjab,1,0,0,0,1,1,,,,,,,6,3,0,0,4,0,0,0,0,,,,,,,6,4,0,0,0,0,1,0,1,,,,,,,6,2,0,0,0,1,0,1,0,,,,,,,6,2,0,0,1,0,0,0,1,,,,,,,6,2,0,0,1,0,0,4,1,,,,,,,6,6,0
266,2008-05-17,Feroz Shah Kotla,1,,Delhi Daredevils,0,1,2,0,0,0,1,6,0,,,,9,10,0,0,0,4,0,0,0,,,,,,,6,4,0,2,1,4,0,1,2,,,,,,,6,10,0,0,4,0,4,0,1,,,,,,,6,9,0,0,2,2,1,2,2,4,,,,,,7,13,0,1,4,1,6,6,4,,,,,,,6,22,0
267,2008-05-17,Feroz Shah Kotla,2,94,Kings XI Punjab,1,0,1,0,0,1,,,,,,,6,3,0,0,1,1,4,6,0,0,,,,,,7,12,0,1,1,1,6,6,0,,,,,,,6,15,0,0,1,0,1,1,1,,,,,,,6,4,0,4,1,4,4,1,6,2,,,,,,7,22,0,2,6,1,6,1,1,,,,,,,6,17,0
268,2017-05-10,Green Park,1,,Gujarat Lions,0,4,1,0,1,1,,,,,,,6,7,0,1,0,1,4,0,0,1,1,,,,,8,8,0,0,4,0,1,0,1,,,,,,,6,6,0,0,0,6,0,4,0,,,,,,,6,10,0,1,1,1,0,4,1,,,,,,,6,8,0,1,1,1,4,0,4,,,,,,,6,11,0
269,2017-05-10,Green Park,2,197,Delhi Daredevils,4,0,1,1,1,0,,,,,,,6,7,0,0,4,0,4,0,0,,,,,,,6,8,0,1,0,2,0,0,4,,,,,,,6,7,0,0,4,1,0,4,1,,,,,,,6,10,0,0,4,0,4,1,6,,,,,,,6,15,0,4,0,1,4,4,4,,,,,,,6,17,0
270,2018-04-08,Eden Gardens,1,,Royal Challengers Bangalore,4,0,0,6,0,4,,,,,,,6,14,0,4,0,0,0,2,1,,,,,,,6,7,0,1,1,1,1,2,1,,,,,,,6,7,0,0,1,0,0,4,1,,,,,,,6,6,0,5,4,0,1,0,0,0,,,,,,7,10,0,0,0,1,0,1,6,,,,,,,6,8,0
271,2018-04-08,Eden Gardens,2,177,Kolkata Knight Riders,4,6,1,0,0,1,,,,,,,6,12,0,0,0,0,4,0,0,,,,,,,6,4,0,0,1,1,1,1,6,,,,,,,6,10,0,0,6,4,4,0,6,,,,,,,6,20,0,1,0,4,1,6,6,1,,,,,,7,19,0,0,0,0,1,1,0,1,,,,,,7,3,0
272,2012-04-16,Wankhede Stadium,1,,Mumbai Indians,1,0,0,0,0,1,,,,,,,6,2,0,0,0,0,0,0,1,,,,,,,6,1,0,1,0,1,0,0,0,,,,,,,6,2,0,0,1,1,0,0,0,,,,,,,6,2,0,0,4,4,1,0,0,,,,,,,6,9,0,0,0,1,0,1,1,4,,,,,,7,7,0
273,2012-04-16,Wankhede Stadium,2,93,Delhi Daredevils,0,0,1,6,0,1,,,,,,,6,8,0,1,0,0,1,1,1,1,1,0,,,,9,6,0,0,4,0,0,0,0,,,,,,,6,4,0,4,0,0,0,0,0,,,,,,,6,4,0,0,1,0,4,3,4,,,,,,,6,12,0,0,2,4,0,1,0,,,,,,,6,7,0
274,2008-05-31,Wankhede Stadium,1,,Kings XI Punjab,4,0,1,0,2,0,,,,,,,6,7,0,1,0,0,0,3,0,,,,,,,6,4,0,0,0,1,2,0,1,1,,,,,,7,5,0,6,1,1,4,0,0,,,,,,,6,12,0,0,0,0,0,1,1,,,,,,,6,2,0,0,0,0,4,0,1,,,,,,,6,5,0
275,2008-05-31,Wankhede Stadium,2,116,Chennai Super Kings,0,1,1,1,4,0,,,,,,,6,7,0,4,1,0,1,0,1,0,,,,,,7,7,0,0,0,0,1,0,1,0,,,,,,7,2,0,0,0,1,0,4,4,,,,,,,6,9,0,4,0,0,1,0,0,,,,,,,6,5,0,0,4,0,1,0,0,,,,,,,6,5,0
276,2011-05-19,Dr DY Patil Sports Academy,1,,Pune Warriors,0,0,0,1,4,4,,,,,,,6,9,0,0,0,0,0,1,0,,,,,,,6,1,0,0,4,2,1,0,0,,,,,,,6,7,0,0,0,0,1,0,0,,,,,,,6,1,0,1,0,1,1,0,4,,,,,,,6,7,0,1,0,1,1,0,0,1,,,,,,7,4,0
277,2011-05-19,Dr DY Patil Sports Academy,2,119,Kolkata Knight Riders,1,2,4,0,0,0,,,,,,,6,7,0,0,0,1,0,4,5,,,,,,,6,10,0,5,0,1,1,1,1,6,,,,,,7,15,0,1,0,0,0,0,0,,,,,,,6,1,0,1,1,4,4,0,0,,,,,,,6,10,0,0,0,0,0,1,0,,,,,,,6,1,0
278,2018-05-14,Holkar Cricket Stadium,1,,Kings XI Punjab,0,0,1,0,0,0,,,,,,,6,1,0,0,0,0,0,0,6,,,,,,,6,6,0,0,0,0,1,6,0,,,,,,,6,7,0,4,0,1,1,4,4,,,,,,,6,14,0,2,6,0,1,4,0,,,,,,,6,13,0,0,0,1,0,4,1,,,,,,,6,6,0
279,2018-05-14,Holkar Cricket Stadium,2,92,Royal Challengers Bangalore,1,1,1,1,1,4,,,,,,,6,9,0,0,0,1,4,4,2,,,,,,,6,11,0,6,4,0,1,4,1,0,,,,,,7,16,0,1,0,1,0,1,0,,,,,,,6,3,0,1,4,1,1,4,4,,,,,,,6,15,0,0,1,1,0,4,6,,,,,,,6,12,0
280,2012-05-08,Subrata Roy Sahara Stadium,1,,Pune Warriors,1,1,0,1,1,1,1,,,,,,7,6,0,0,1,0,0,0,0,,,,,,,6,1,0,0,2,1,4,0,1,,,,,,,6,8,0,0,1,4,2,0,0,,,,,,,6,7,0,0,1,1,1,1,2,,,,,,,6,6,0,0,1,1,0,5,0,,,,,,,6,7,0
281,2012-05-08,Subrata Roy Sahara Stadium,2,126,Rajasthan Royals,0,4,0,0,0,0,,,,,,,6,4,0,0,0,0,1,0,0,,,,,,,6,1,0,0,6,0,4,0,6,,,,,,,6,16,0,1,0,4,1,2,0,,,,,,,6,8,0,0,1,4,1,4,2,,,,,,,6,12,0,1,1,1,4,1,0,,,,,,,6,8,0
282,2009-05-16,New Wanderers Stadium,1,,Kolkata Knight Riders,0,1,4,0,0,0,,,,,,,6,5,0,4,0,0,1,0,0,,,,,,,6,5,0,2,1,0,1,1,0,,,,,,,6,5,0,0,1,2,6,0,0,1,,,,,,7,10,0,0,2,0,1,0,1,,,,,,,6,4,0,0,0,0,0,2,0,,,,,,,6,2,0
283,2009-05-16,New Wanderers Stadium,2,166,Deccan Chargers,0,0,4,1,0,0,,,,,,,6,5,0,0,0,6,6,1,2,,,,,,,6,15,0,0,1,4,4,0,0,,,,,,,6,9,0,1,0,2,0,4,0,4,,,,,,7,11,0,0,0,0,0,1,0,,,,,,,6,1,0,0,4,1,4,0,0,,,,,,,6,9,0
284,2021-10-05,Sharjah Cricket Stadium,1,,Rajasthan Royals,0,0,0,1,1,4,0,,,,,,7,6,0,0,6,1,0,4,4,,,,,,,6,15,0,4,0,0,1,0,0,,,,,,,6,5,0,0,1,0,0,1,4,,,,,,,6,6,0,1,1,1,0,0,1,1,,,,,,7,5,0,4,0,0,0,0,0,,,,,,,6,4,0
285,2021-10-05,Sharjah Cricket Stadium,2,94,Mumbai Indians,0,0,4,2,6,2,,,,,,,6,14,0,0,0,0,0,0,0,,,,,,,6,0,0,0,6,0,1,1,1,,,,,,,6,9,0,0,0,4,1,4,3,,,,,,,6,12,0,4,4,1,4,0,0,,,,,,,6,13,0,3,0,1,4,0,0,0,,,,,,7,8,0
286,2008-05-18,"Rajiv Gandhi International Stadium, Uppal",1,,Mumbai Indians,4,1,0,0,0,6,0,,,,,,7,11,0,1,4,4,6,0,4,,,,,,,6,19,0,1,0,4,4,0,0,,,,,,,6,9,0,0,0,0,4,1,0,,,,,,,6,5,0,1,0,0,1,1,1,,,,,,,6,4,0,0,0,1,4,4,0,,,,,,,6,9,0
287,2008-05-18,"Rajiv Gandhi International Stadium, Uppal",2,153,Deccan Chargers,0,0,0,4,0,1,,,,,,,6,5,0,1,1,0,0,1,4,0,,,,,,7,7,0,0,1,0,1,0,4,,,,,,,6,6,0,0,0,1,1,0,0,,,,,,,6,2,0,0,0,0,0,1,1,1,,,,,,7,3,0,0,1,4,0,0,0,4,,,,,,7,9,0
288,2012-04-14,Subrata Roy Sahara Stadium,1,,Chennai Super Kings,0,0,0,0,1,0,,,,,,,6,1,0,0,6,0,0,1,0,,,,,,,6,7,0,0,1,0,0,2,2,,,,,,,6,5,0,4,4,0,6,4,0,,,,,,,6,18,0,1,0,1,1,4,1,,,,,,,6,8,0,0,1,1,0,1,1,,,,,,,6,4,0
289,2012-04-14,Subrata Roy Sahara Stadium,2,156,Pune Warriors,1,0,1,0,2,0,2,,,,,,7,6,0,0,6,1,1,2,0,,,,,,,6,10,0,2,0,4,4,4,1,,,,,,,6,15,0,4,1,4,0,1,1,1,,,,,,7,12,0,1,0,1,1,1,1,,,,,,,6,5,0,2,0,1,4,0,1,,,,,,,6,8,0
290,2009-04-26,Newlands,1,,Kings XI Punjab,0,0,1,0,0,0,0,,,,,,7,1,0,0,0,0,4,1,1,,,,,,,6,6,0,4,0,1,0,0,0,,,,,,,6,5,0,0,4,0,1,0,4,,,,,,,6,9,0,0,1,1,0,0,1,0,4,,,,,8,7,0,1,1,1,1,0,0,2,0,4,,,,9,10,0
291,2009-04-26,Newlands,2,112,Rajasthan Royals,1,1,1,0,1,1,1,,,,,,7,6,0,1,0,1,0,1,0,0,0,,,,,8,3,0,2,0,4,0,0,0,,,,,,,6,6,0,0,0,0,4,0,4,,,,,,,6,8,0,0,4,0,0,0,0,,,,,,,6,4,0,0,0,0,1,4,0,,,,,,,6,5,0
292,2013-05-09,Subrata Roy Sahara Stadium,1,,Kolkata Knight Riders,0,0,0,1,1,0,1,1,,,,,8,4,0,3,1,0,4,4,1,,,,,,,6,13,0,4,0,1,4,1,1,,,,,,,6,11,0,1,0,0,4,1,1,,,,,,,6,7,0,0,4,4,0,1,0,,,,,,,6,9,0,1,0,1,0,0,4,,,,,,,6,6,0
293,2013-05-09,Subrata Roy Sahara Stadium,2,106,Pune Warriors,4,0,1,1,0,3,,,,,,,6,9,0,4,1,0,1,0,4,0,,,,,,7,10,0,0,0,1,0,1,1,,,,,,,6,3,0,0,1,0,1,1,0,,,,,,,6,3,0,1,0,1,0,1,0,1,,,,,,7,4,0,1,0,0,0,0,4,,,,,,,6,5,0
294,2016-04-23,Feroz Shah Kotla,1,,Delhi Daredevils,4,4,1,0,1,0,,,,,,,6,10,0,0,0,1,0,0,0,,,,,,,6,1,0,1,0,1,1,0,1,0,1,,,,,8,5,0,1,1,0,0,4,6,,,,,,,6,12,0,0,4,0,0,1,2,,,,,,,6,7,0,0,1,1,1,1,1,1,,,,,,7,6,0
295,2016-04-23,Feroz Shah Kotla,2,154,Mumbai Indians,4,0,0,0,0,4,,,,,,,6,8,0,0,0,0,1,0,4,,,,,,,6,5,0,4,4,2,4,1,4,,,,,,,6,19,0,0,4,1,0,4,4,,,,,,,6,13,0,1,0,0,0,1,0,,,,,,,6,2,0,1,0,1,1,1,1,,,,,,,6,5,0
296,2016-04-30,"Rajiv Gandhi International Stadium, Uppal",1,,Sunrisers Hyderabad,0,4,1,0,0,1,,,,,,,6,6,0,1,0,2,1,4,0,,,,,,,6,8,0,0,1,0,4,1,1,,,,,,,6,7,0,4,3,0,0,0,0,,,,,,,6,7,0,1,3,1,0,0,0,,,,,,,6,5,0,5,6,0,4,0,1,0,0,,,,,8,16,0
297,2016-04-30,"Rajiv Gandhi International Stadium, Uppal",2,179,Royal Challengers Bangalore,1,2,4,1,1,1,,,,,,,6,10,0,2,4,1,0,1,4,,,,,,,6,12,0,0,1,1,4,0,1,,,,,,,6,7,0,1,1,0,4,1,0,1,,,,,,7,8,0,1,1,1,1,1,0,,,,,,,6,5,0,0,0,0,0,1,2,,,,,,,6,3,0
298,2016-05-13,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,,Mumbai Indians,4,0,0,0,1,0,,,,,,,6,5,0,0,0,1,1,0,0,0,,,,,,7,2,0,0,1,0,0,0,0,,,,,,,6,1,0,1,1,1,1,0,0,,,,,,,6,4,0,0,0,0,1,1,0,,,,,,,6,2,0,0,1,0,0,6,0,,,,,,,6,7,0
299,2016-05-13,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,127,Kings XI Punjab,1,0,0,0,0,0,,,,,,,6,1,0,0,0,4,0,1,0,,,,,,,6,5,0,0,0,0,1,0,4,,,,,,,6,5,0,0,4,4,0,1,0,1,,,,,,7,10,0,1,4,0,0,0,0,,,,,,,6,5,0,1,1,1,1,0,1,1,,,,,,7,6,0
300,2013-04-06,"MA Chidambaram Stadium, Chepauk",1,,Mumbai Indians,0,2,0,1,0,1,,,,,,,6,4,0,0,0,4,1,1,1,,,,,,,6,7,0,1,1,1,1,1,1,,,,,,,6,6,0,0,0,1,0,0,4,1,,,,,,7,6,0,0,1,3,1,0,0,,,,,,,6,5,0,1,4,1,1,0,6,,,,,,,6,13,0
